songs/1992/Technotronic - Move This (Hit Mix).mp3	parens
songs/1992/The Overlords - Sundown (Ionizer Remix '92).mp3	apostrophe,parens
songs/1992/Virtualmismo - Mismoplastico (Virtual Mix).mp3	parens
songs/1993/Afrika Bambaataa - Feeling Irie (Jumpin' Club Mix).mp3	apostrophe,parens
songs/1993/Aldus Haza - Dial (Action Mix).mp3	parens
songs/1993/Aldus Haza - Killer City (Killer Version).mp3	parens
songs/1993/Alien Factory - Beta Music (Hanover Rmx).mp3	parens
songs/1993/Atlantis - Because (Killer Mode).mp3	parens
songs/1993/Atlantis - Because (Panic Mode).mp3	parens
songs/1993/Atlantis - Control Of The Universe (M&M's Mix).mp3	ampersand,apostrophe,parens
songs/1993/Corona - The Rhythm Of The Night (Club Mix).mp3	parens
songs/1993/Corona - The Rhythm Of The Night (Radio Edit).mp3	parens
songs/1993/Culture Beat - Mr. Vain (Vain Mix).mp3	parens
songs/1993/Cut 'N' Move - Give It Up (Album Version).mp3	apostrophe,parens
songs/1993/Division Barcelona - El Hombre Maquina (Remix).mp3	parens
songs/1993/DJ 70 - Fanatic Trance (Marnix Trance Remix).mp3	parens
songs/1993/DJ's Rave Ministry - Rave You (Rave Mix).mp3	apostrophe,parens
songs/1993/Double You - Got To Love (Club Mix).mp3	parens
songs/1993/Dr. DJ Cerla - Rotterdam '93 (N.Y. Version).mp3	apostrophe,parens
songs/1993/Eliminator - GRillos (Rotterdam Leisure) (Mix 1).mp3	parens
songs/1993/Espiral - Dunne (Alternative Mix).mp3	parens
songs/1993/Espiral - Dunne (Drums Mix).mp3	parens
songs/1993/Fabio Locati - XTC Vol. 3 (Mr. Otto DJ).mp3	parens
songs/1993/Fits Of Gloom - To Love (Club Mix).mp3	parens
songs/1993/Freddie Mercury - Living On My Own (Extended Mix).mp3	parens
songs/1993/Freddie Mercury - Living On My Own (Radio Mix).mp3	parens
songs/1993/Hocus Pocus - Here's Johnny! (BAM BAM BAM).mp3	apostrophe,parens
songs/1993/Hocus Pocus - Here's Johnny! (Hardcore).mp3	apostrophe,parens
songs/1993/Hocus Pocus - Here's Johnny! (Ramirez Mix).mp3	apostrophe,parens
songs/1993/Hocus Pocus - Here's Johnny!.mp3	apostrophe
